,Symbol,Name,Price,Change %,Volume,Rel Volume,Market cap,P/E,EPS dil,EPS dil growth,Div yield %,Sector,Analyst Rating
53,ACIW,"ACI Worldwide, Inc.",29.31 USD,−0.07%,634.798K,1.11,3.187B USD,36.74,0.80 USD,−42.11%,0.00%,Technology Services,Strong buy
54,ACLS,"Axcelis Technologies, Inc.",117.83 USD,+1.46%,644.123K,1.21,3.859B USD,16.87,6.99 USD,+45.58%,0.00%,Producer Manufacturing,Buy
55,ACLX,"Arcellx, Inc.",51.85 USD,−4.60%,526.141K,0.98,2.524B USD,—,−2.78 USD,+32.74%,0.00%,Health Technology,Strong buy
56,ACM,AECOM,88.72 USD,−0.08%,1.253M,2.75,12.065B USD,231.58,0.38 USD,−82.43%,0.81%,Industrial Services,Buy
57,ACMR,"ACM Research, Inc.",16.96 USD,−0.24%,745.119K,1.05,1.028B USD,15.62,1.09 USD,+68.77%,0.00%,Producer Manufacturing,Strong buy
58,ACN,Accenture plc,336.62 USD,−0.14%,1.511M,0.67,211.058B USD,31.19,10.79 USD,−1.99%,1.38%,Technology Services,Buy
59,ACNB,ACNB Corporation,44.64 USD,−0.73%,34.812K,1.72,379.784M USD,10.07,4.43 USD,—,2.55%,Finance,Neutral
60,ACNT,Ascent Industries Co.,9.98 USD,+1.53%,12.138K,0.45,101.053M USD,—,−3.71 USD,−225.61%,0.00%,Non-Energy Minerals,Strong buy
61,ACON,"Aclarion, Inc.",3.06 USD,−0.97%,3.958M,6.70,1.802M USD,—,−8.70 USD,+59.21%,0.00%,Technology Services,—
62,ACOR,"Acorda Therapeutics, Inc.",14.50 USD,−1.53%,845,0.25,18.01M USD,—,−19.78 USD,+85.74%,0.00%,Health Technology,—
63,ACRS,"Aclaris Therapeutics, Inc.",1.06 USD,−3.64%,1.266M,0.53,75.086M USD,—,−1.67 USD,−29.39%,0.00%,Health Technology,Buy
64,ACRV,"Acrivon Therapeutics, Inc.",4.56 USD,−1.94%,44.365K,1.01,101.206M USD,—,−2.30 USD,—,0.00%,Health Technology,Strong buy
65,ACRX,"AcelRx Pharmaceuticals, Inc.",0.7750 USD,+0.91%,77.022K,0.43,13.138M USD,—,−2.23 USD,−135.83%,0.00%,Health Technology,Strong buy
66,ACST,"Acasti Pharma, Inc.",2.87 USD,+5.90%,49.221K,0.97,26.976M USD,—,−5.41 USD,−133.47%,0.00%,Health Technology,Strong buy
67,ACT,"Enact Holdings, Inc.",28.43 USD,−0.25%,155.986K,0.78,4.54B USD,7.08,4.01 USD,−8.28%,2.18%,Finance,Buy
68,ACTG,Acacia Research Corporation,3.84 USD,+0.52%,132.636K,0.85,383.563M USD,—,−0.96 USD,−1194.66%,0.00%,Commercial Services,Strong buy
69,ACU,Acme,42.19 USD,−2.04%,24.813K,1.72,151.254M USD,25.60,1.65 USD,+6.79%,1.33%,Distribution Services,Strong buy
70,ACVA,ACV Auctions Inc.,13.42 USD,−2.96%,1.687M,1.61,2.167B USD,—,−0.48 USD,+27.64%,0.00%,Retail Trade,Buy
71,ACXP,"Acurx Pharmaceuticals, Inc.",3.90 USD,−1.52%,52.36K,0.49,53.695M USD,—,−1.05 USD,+3.53%,0.00%,Health Technology,Strong buy
72,ADBE,Adobe Inc.,564.60 USD,−0.43%,1.923M,0.90,257.062B USD,47.77,11.82 USD,+17.00%,0.00%,Technology Services,Buy
73,ADCT,ADC Therapeutics SA,2.03 USD,+7.98%,1.323M,1.85,163.704M USD,—,−2.19 USD,−2.20%,0.00%,Health Technology,Buy
74,ADD,"Color Star Technology Co., Ltd.",0.3500 USD,+5.90%,212.43K,0.79,3.769M USD,—,−82.69 USD,−1249.44%,0.00%,Technology Services,—
75,ADEA,Adeia Inc.,12.11 USD,−1.30%,486.686K,0.98,1.298B USD,10.23,1.18 USD,—,1.65%,Technology Services,Strong buy
76,ADES,"Advanced Emissions Solutions, Inc.",2.81 USD,+8.49%,273.868K,2.39,93.238M USD,—,−0.77 USD,−22550.00%,0.00%,Process Industries,Strong buy
77,ADI,"Analog Devices, Inc.",186.55 USD,+0.26%,2.492M,0.98,92.578B USD,28.52,6.54 USD,+24.09%,1.84%,Electronic Technology,Buy
78,A,ADIL,1.75 USD,+1.75%,26.29K,0.10,2.132M USD,—,−7.97 USD,+53.74%,0.00%,Health Technology,Strong buy
79,ADM,Archer-Daniels-Midland Company,70.81 USD,−1.31%,2.926M,0.94,37.769B USD,9.86,7.18 USD,−0.88%,2.54%,Process Industries,Buy
80,ADMA,ADMA Biologics Inc,4.40 USD,−2.87%,1.408M,0.75,994.258M USD,—,−0.11 USD,+70.33%,0.00%,Health Technology,Strong buy
81,ADN,"Advent Technologies Holdings, Inc.",0.1972 USD,−1.40%,987.102K,0.43,14.303M USD,—,−1.76 USD,−153.00%,0.00%,Electronic Technology,Neutral
82,ADNT,Adient plc,34.29 USD,+0.73%,616.056K,0.90,3.213B USD,15.87,2.16 USD,—,0.00%,Producer Manufacturing,Neutral
83,ADOC,Edoc Acquisition Corp.,11.59 USD,−0.09%,567,1.05,41.958M USD,—,−0.46 USD,+63.03%,0.00%,Finance,—
84,ADP,"Automatic Data Processing, Inc.",235.21 USD,+0.66%,1.765M,1.20,96.743B USD,27.95,8.42 USD,+16.59%,2.19%,Technology Services,Neutral
85,ADPT,Adaptive Biotechnologies Corporation,4.58 USD,−1.51%,1.12M,0.73,663.059M USD,—,−1.36 USD,+12.74%,0.00%,Health Technology,Buy
86,ADRT,Ault Disruptive Technologies Corporation,11.02 USD,−0.81%,276,0.23,33.3M USD,97.26,0.11 USD,—,0.00%,Finance,—
87,ADSE,ADS-TEC ENERGY PLC,7.00 USD,+1.01%,12.299K,0.17,342.427M USD,—,−0.88 USD,—,0.00%,Producer Manufacturing,Neutral
88,ADSK,"Autodesk, Inc.",229.52 USD,+0.26%,1.138M,1.14,49.098B USD,54.08,4.24 USD,+49.69%,0.00%,Technology Services,Buy
89,ADT,ADT Inc.,6.52 USD,+1.88%,3.527M,1.45,5.653B USD,200.00,0.03 USD,—,2.15%,Commercial Services,Buy
90,ADTH,"AdTheorent Holding Company, Inc.",1.85 USD,+24.16%,756.023K,4.58,163.248M USD,29.65,0.06 USD,−85.20%,0.00%,Technology Services,Strong buy
91,ADTN,"ADTRAN Holdings, Inc.",7.16 USD,−0.83%,656.367K,1.05,563.485M USD,—,−1.29 USD,−102.27%,5.03%,Electronic Technology,Buy
92,A,ADTX,5.09 USD,−0.59%,132.523K,0.04,6.357M USD,—,−213.70 USD,+92.01%,0.00%,Health Technology,Neutral
93,ADUS,Addus HomeCare Corporation,88.26 USD,−1.84%,64.312K,0.82,1.431B USD,24.90,3.54 USD,+28.85%,0.00%,Health Services,Strong buy
94,ADV,Advantage Solutions Inc.,3.61 USD,−0.28%,434.344K,0.78,1.178B USD,—,−4.70 USD,−2286.98%,0.00%,Commercial Services,Neutral
95,ADVM,"Adverum Biotechnologies, Inc.",0.8350 USD,−6.18%,407.752K,1.21,84.358M USD,—,−1.26 USD,+20.54%,0.00%,Health Technology,Strong buy
96,AE,"Adams Resources & Energy, Inc.",25.02 USD,−0.75%,4.768K,0.67,63.712M USD,—,−1.93 USD,−162.67%,3.84%,Distribution Services,Strong buy
97,AEAE,AltEnergy Acquisition Corp.,10.89 USD,−0.09%,332,0.17,79.796M USD,69.72,0.16 USD,−81.40%,0.00%,Finance,—
98,AEE,Ameren Corporation,74.05 USD,+0.19%,1.411M,0.75,19.471B USD,16.82,4.40 USD,+10.17%,3.40%,Utilities,Buy
99,A,AEHL,1.91 USD,−8.61%,31.374K,1.66,4.002M USD,—,−0.86 USD,+85.16%,0.00%,Producer Manufacturing,—
100,AEHR,Aehr Test Systems,22.49 USD,−0.35%,930.527K,0.91,647.697M USD,35.52,0.63 USD,+94.02%,0.00%,Electronic Technology,Strong buy
101,AEI,Alset Inc.,1.05 USD,−1.87%,45.696K,0.80,9.697M USD,—,—,—,0.00%,Finance,—
102,AEIS,"Advanced Energy Industries, Inc.",100.87 USD,−0.39%,130.727K,0.71,3.76B USD,28.32,3.56 USD,−31.29%,0.40%,Electronic Technology,Buy
103,AEL,American Equity Investment Life Holding Company,55.28 USD,−0.16%,560.598K,0.84,4.368B USD,7.05,7.84 USD,−42.79%,0.65%,Finance,Neutral
104,A,AEM,2.10 USD,−3.67%,14.675K,0.46,5.235M USD,—,−4.89 USD,+37.41%,0.00%,Health Technology,Buy
105,AENT,Alliance Entertainment Holding Corporation,1.03 USD,+0.98%,8.367K,0.33,114.295M USD,—,—,—,0.00%,Distribution Services,Strong buy
106,AEO,"American Eagle Outfitters, Inc.",19.84 USD,−2.89%,5.532M,1.43,3.919B USD,17.91,1.11 USD,+93.69%,1.51%,Retail Trade,Neutral
107,AEON,"AEON Biopharma, Inc.",7.04 USD,−9.04%,26.687K,1.39,261.604M USD,12.00,0.59 USD,+209.88%,0.00%,Health Technology,Strong buy
108,AEP,"American Electric Power Company, Inc.",84.07 USD,+0.82%,2.464M,0.87,44.21B USD,19.32,4.35 USD,−9.68%,4.01%,Utilities,Buy
109,AER,AerCap Holdings N.V.,73.09 USD,+0.87%,1.94M,1.34,15.358B USD,6.76,10.80 USD,—,0.00%,Finance,Strong buy
110,A,AERT,2.39 USD,+0.21%,9.948K,0.85,37.329M USD,—,−0.04 USD,−116.61%,0.00%,Technology Services,—
111,AES,The AES Corporation,18.80 USD,−0.37%,12.186M,2.81,12.589B USD,—,−0.87 USD,−89.25%,3.53%,Utilities,Buy
112,A,AESI,16.73 USD,+1.21%,421.864K,0.68,2.38B USD,9.09,1.84 USD,−30.15%,2.99%,Industrial Services,Strong buy
113,AEVA,"Aeva Technologies, Inc.",1.12 USD,+12.00%,3.026M,1.37,250.863M USD,—,−0.67 USD,−5.93%,0.00%,Electronic Technology,Buy
114,A,AEY,2.45 USD,+2.08%,2.461K,0.23,3.662M USD,—,−6.36 USD,−630.97%,0.00%,Distribution Services,—
115,AEYE,"AudioEye, Inc.",4.52 USD,−8.32%,28.13K,0.71,53.738M USD,—,−0.62 USD,+47.26%,0.00%,Technology Services,Strong buy
116,AFAR,Aura FAT Projects Acquisition Corp,10.92 USD,+0.46%,1.915K,0.08,63.021M USD,48.11,0.23 USD,—,0.00%,Finance,—
117,AFBI,"Affinity Bancshares, Inc.",16.10 USD,−0.31%,3.522K,0.81,102.852M USD,16.04,1.00 USD,—,0.00%,Finance,—
118,AFG,"American Financial Group, Inc.",121.19 USD,+0.53%,416.897K,1.62,10.153B USD,11.93,10.16 USD,−11.39%,2.15%,Finance,Buy
119,AFIB,"Acutus Medical, Inc.",0.1890 USD,−4.06%,89.161K,0.27,5.538M USD,—,−1.25 USD,+59.85%,0.00%,Health Technology,Neutral
120,AFL,AFLAC Incorporated,82.72 USD,+0.51%,1.921M,1.19,48.34B USD,10.91,7.59 USD,−3.15%,2.03%,Finance,Neutral
121,AFMD,Affimed N.V.,0.6159 USD,−6.68%,1.016M,0.64,91.978M USD,—,−0.85 USD,−37.65%,0.00%,Health Technology,Strong buy
122,AFRI,Forafric Global PLC,10.68 USD,0.00%,12.525K,0.18,607.469M USD,—,—,—,0.00%,Process Industries,—
123,AFRM,"Affirm Holdings, Inc.",43.01 USD,+1.20%,12.944M,0.60,12.978B USD,—,−3.04 USD,−34.08%,0.00%,Finance,Neutral
124,AFYA,Afya Limited,20.83 USD,−0.90%,232.635K,1.69,1.952B USD,27.00,0.77 USD,+3.56%,0.00%,Consumer Services,Strong buy
125,AGAE,Allied Gaming & Entertainment Inc.,1.09 USD,−1.80%,13.541K,0.17,40.159M USD,—,−0.11 USD,+66.51%,0.00%,Consumer Services,—
126,AGBA,AGBA Group Holding Limited,0.4011 USD,+0.17%,71.851K,0.49,27.099M USD,—,—,—,0.00%,Finance,—
127,AGCO,AGCO Corporation,122.01 USD,+1.90%,980.324K,1.92,9.136B USD,7.93,15.39 USD,+35.97%,0.91%,Producer Manufacturing,Buy
128,AGE,"AgeX Therapeutics, Inc.",0.4237 USD,+8.92%,38.498K,0.39,16.08M USD,—,−0.37 USD,−41.62%,0.00%,Health Technology,—
129,AGEN,Agenus Inc.,0.7786 USD,+0.24%,4.019M,0.45,297.032M USD,—,−0.82 USD,−2.14%,0.00%,Health Technology,Strong buy
130,AGFY,Agrify Corporation,1.32 USD,+2.77%,10.062K,0.36,2.238M USD,—,−53.45 USD,+95.14%,0.00%,Producer Manufacturing,—
131,AGIO,"Agios Pharmaceuticals, Inc.",23.14 USD,−1.41%,684.178K,0.88,1.293B USD,—,−3.95 USD,+40.61%,0.00%,Health Technology,Buy
132,AGL,"agilon health, inc.",8.63 USD,−28.56%,36.888M,14.40,3.504B USD,—,−0.22 USD,+17.37%,0.00%,Health Services,Buy
133,AGM,Federal Agricultural Mortgage Corporation,186.88 USD,+1.34%,65.083K,1.19,1.989B USD,12.10,15.45 USD,+16.11%,2.35%,Finance,Strong buy
134,AGMH,AGM Group Holdings Inc.,1.85 USD,+1.40%,4.46K,0.45,48.801M USD,3.45,0.54 USD,—,0.00%,Technology Services,—
135,AGO,Assured Guaranty Ltd.,75.69 USD,+0.84%,413.073K,1.64,4.334B USD,9.99,7.58 USD,+82.51%,1.48%,Finance,Buy
136,AGR,"Avangrid, Inc.",33.86 USD,+1.17%,686.563K,1.07,13.096B USD,24.46,1.38 USD,−40.30%,5.20%,Utilities,Neutral
137,A,AGRI,0.4190 USD,+0.84%,281.816K,0.49,2.194M USD,—,−0.43 USD,+44.35%,0.00%,Commercial Services,—
138,AGRO,Adecoagro S.A.,10.79 USD,−0.19%,313.376K,0.85,1.161B USD,7.91,1.36 USD,−6.65%,3.03%,Process Industries,Buy
139,AGRX,"Agile Therapeutics, Inc.",1.56 USD,−5.45%,226.291K,2.71,3.918M USD,—,−13.10 USD,+98.25%,0.00%,Health Technology,Strong buy
140,AGS,"PlayAGS, Inc.",8.11 USD,0.00%,353.185K,1.54,313.956M USD,105.60,0.08 USD,—,0.00%,Producer Manufacturing,Strong buy
141,AGTI,"Agiliti, Inc.",8.05 USD,+1.64%,397.355K,1.50,1.085B USD,—,−0.08 USD,−129.49%,0.00%,Consumer Services,Neutral
142,AGX,"Argan, Inc.",46.04 USD,−1.67%,80.063K,0.99,613.615M USD,18.40,2.50 USD,+66.99%,2.28%,Industrial Services,Strong buy
143,AGYS,"Agilysys, Inc.",77.78 USD,−0.49%,153.87K,1.51,1.974B USD,166.41,0.47 USD,+43.64%,0.00%,Technology Services,Strong buy
144,AHCO,AdaptHealth Corp.,7.25 USD,+0.83%,923.504K,0.71,988.825M USD,—,−3.35 USD,−840.37%,0.00%,Finance,Buy
145,AI,"C3.ai, Inc.",27.26 USD,−2.26%,6.09M,0.67,3.172B USD,—,−2.29 USD,−2.62%,0.00%,Technology Services,Neutral
146,AIB,AIB Acquisition Corporation,11.75 USD,+2.26%,599,0.08,50.672M USD,—,−0.08 USD,−39500.00%,0.00%,Finance,—
147,AIG,"American International Group, Inc. New",69.01 USD,+0.55%,4.87M,1.72,48.448B USD,13.21,5.22 USD,−68.76%,2.03%,Finance,Buy
148,AIHS,Senmiao Technology Limited,0.4624 USD,+1.72%,29.014K,2.15,4.424M USD,—,−0.48 USD,−163.41%,0.00%,Finance,—
149,AIM,AIM ImmunoTech Inc.,0.4400 USD,−8.14%,173.124K,1.34,21.49M USD,—,−0.43 USD,+1.42%,0.00%,Health Technology,Strong buy
150,AIMD,"Ainos, Inc.",2.74 USD,+58.38%,30.527M,413.40,12.817M USD,—,−2.48 USD,+54.10%,0.00%,Health Technology,—
151,AIN,Albany International Corporation,92.28 USD,−0.29%,94.394K,0.71,3.048B USD,29.20,3.16 USD,−5.46%,1.09%,Process Industries,Buy
152,AINC,Ashford Inc. (Holding Company),3.67 USD,−3.93%,1.378K,0.22,11.795M USD,—,−12.52 USD,−33.31%,0.00%,Commercial Services,Strong buy
153,AIP,"Arteris, Inc.",5.39 USD,−2.88%,104.981K,1.10,198.645M USD,—,−0.96 USD,−10.21%,0.00%,Electronic Technology,Strong buy
154,AIR,AAR Corp.,60.00 USD,−1.17%,250.552K,0.66,2.13B USD,31.11,1.93 USD,−24.45%,0.00%,Electronic Technology,Strong buy
155,A,AIRE,1.60 USD,−8.57%,454.48K,0.94,—,—,—,—,—,Technology Services,—
156,AIRG,"Airgain, Inc.",3.59 USD,+0.56%,22.51K,0.99,37.493M USD,—,−0.99 USD,+0.83%,0.00%,Electronic Technology,Buy
157,AIRI,Air Industries Group,3.10 USD,−6.91%,32.828K,4.62,10.239M USD,—,−0.98 USD,−321.71%,0.00%,Electronic Technology,Strong buy
158,AIRS,"AirSculpt Technologies, Inc.",7.36 USD,+3.08%,102.688K,1.26,422.138M USD,—,−0.13 USD,+78.37%,0.00%,Health Technology,Buy
159,AIRT,"Air T, Inc.",16.84 USD,+0.33%,1.769K,0.56,47.5M USD,—,−4.17 USD,−3025.44%,0.00%,Transportation,—
160,A,AISP,1.89 USD,−10.43%,874.947K,0.33,51.558M USD,—,−0.21 USD,−188.37%,0.00%,Technology Services,—
161,AIT,"Applied Industrial Technologies, Inc.",164.89 USD,−1.03%,151.198K,0.90,6.391B USD,17.80,9.27 USD,+28.80%,0.85%,Distribution Services,Strong buy
162,A,AITR,10.18 USD,0.00%,225.456K,—,79.788M USD,—,—,—,0.00%,Finance,—
163,AIZ,"Assurant, Inc.",168.08 USD,−0.59%,541.224K,1.80,8.839B USD,17.12,9.82 USD,+66.93%,1.68%,Finance,Buy
164,AJG,Arthur J. Gallagher & Co.,225.28 USD,−0.27%,732.611K,0.87,48.638B USD,43.20,5.22 USD,+2.57%,0.98%,Finance,Buy
165,A,AKA,9.55 USD,+8.65%,6.605K,0.58,101.49M USD,—,−24.13 USD,−9210.22%,0.00%,Retail Trade,Neutral
166,AKAM,"Akamai Technologies, Inc.",114.33 USD,−0.26%,1.334M,1.33,17.245B USD,34.49,3.32 USD,+6.23%,0.00%,Technology Services,Buy
167,AKAN,Akanda Corp.,0.4601 USD,−6.08%,67.103K,0.72,1.852M USD,—,−4.08 USD,—,0.00%,Process Industries,—
168,AKBA,"Akebia Therapeutics, Inc.",1.48 USD,−2.63%,2.408M,1.12,278.816M USD,—,−0.33 USD,+62.33%,0.00%,Health Technology,Strong buy
169,AKLI,"Akili, Inc.",0.4572 USD,−4.75%,16.839K,0.23,35.803M USD,—,—,—,0.00%,Health Technology,Buy
170,AKRO,"Akero Therapeutics, Inc.",22.84 USD,+0.04%,655.164K,0.73,1.272B USD,—,−2.36 USD,+30.03%,0.00%,Health Technology,Strong buy
171,AKTS,"Akoustis Technologies, Inc.",0.7653 USD,+3.13%,297.104K,0.37,55.472M USD,—,−0.95 USD,+19.19%,0.00%,Electronic Technology,Buy
172,AKYA,"Akoya BioSciences, Inc.",4.33 USD,−1.14%,142.792K,0.92,212.5M USD,—,−1.76 USD,+4.53%,0.00%,Health Technology,Strong buy
173,AL,Air Lease Corporation,40.25 USD,+0.98%,1.031M,1.61,4.469B USD,9.01,4.47 USD,—,2.01%,Finance,Strong buy
174,ALB,Albemarle Corporation,135.83 USD,−0.07%,2.285M,0.99,15.94B USD,4.82,28.20 USD,+113.84%,1.18%,Process Industries,Buy
175,ALBT,Avalon GloboCare Corp.,0.4500 USD,0.00%,4.585K,0.35,4.95M USD,—,−0.91 USD,+29.79%,0.00%,Health Technology,—
