,Symbol,Name,Price,Change %,Volume,Rel Volume,Market Cap,P/E,EPS (dil TTM),EPS Growth (TTM YoY),Div Yield % TTM,Sector,Analyst Rating
50,ACN,Accenture plc,360.74,−0.09%,1437000.0,0.62,225410000000.0,31.55,11.43 USD,+6.16%,1.43%,Technology services,Buy
51,ACNB,ACNB Corporation,42.54,+1.62%,13268.0,0.90,363531000.0,11.64,3.65 USD,—,2.91%,Finance,Strong buy
52,ACNT,Ascent Industries Co.,9.45,+0.53%,55348.0,2.64,95679000.0,—,−1.33 USD,+29.18%,0.00%,Non-energy minerals,—
53,ACON,"Aclarion, Inc.",0.1762,−3.72%,112702.0,0.86,1770000.0,—,−4.00 USD,+60.68%,0.00%,Technology services,Strong buy
54,ACRS,"Aclaris Therapeutics, Inc.",1.18,+1.72%,125738.0,0.52,84187000.0,—,−0.83 USD,+46.78%,0.00%,Health technology,Neutral
55,ACRV,"Acrivon Therapeutics, Inc.",7.29,+4.44%,66276.0,0.70,225787000.0,—,−2.77 USD,−32.83%,0.00%,Health technology,Strong buy
56,ACST,"Acasti Pharma, Inc.",3.34,−2.04%,15701.0,0.58,33873000.0,—,−1.22 USD,+78.41%,0.00%,Health technology,Strong buy
57,ACT,"Enact Holdings, Inc.",36.18,+0.78%,141159.0,0.49,5633000000.0,8.70,4.16 USD,−0.06%,1.91%,Finance,Buy
58,ACTG,Acacia Research Corporation,4.6,+1.77%,295882.0,0.91,461727000.0,8.05,0.57 USD,—,0.00%,Energy minerals,Strong buy
59,ACTU,"Actuate Therapeutics, Inc.",7.35,+2.65%,23522.0,0.54,140471000.0,—,—,—,0.00%,Health technology,—
60,ACU,Acme,43.38,+1.47%,9124.0,0.70,160288000.0,8.81,4.92 USD,+352.93%,1.36%,Distribution services,Strong buy
61,ACVA,ACV Auctions Inc.,18.74,+3.82%,1318000.0,1.36,3122000000.0,—,−0.49 USD,+5.83%,0.00%,Retail trade,Strong buy
62,ACXP,"Acurx Pharmaceuticals, Inc.",2.07,−0.48%,17315.0,0.42,33627000.0,—,−1.16 USD,−2.85%,0.00%,Health technology,Strong buy
63,ADBE,Adobe Inc.,495.42,−1.62%,2992000.0,1.03,218084000000.0,41.84,11.84 USD,+6.55%,0.00%,Technology services,Buy
64,ADCT,ADC Therapeutics SA,3.08,+12.41%,1299000.0,4.83,297798000.0,—,−2.56 USD,−13.36%,0.00%,Health technology,Strong buy
65,ADD,"Color Star Technology Co., Ltd.",0.1815,−6.06%,3162000.0,0.53,10352000.0,—,—,—,0.00%,Technology services,—
66,ADEA,Adeia Inc.,11.88,+3.57%,242322.0,0.67,1294000000.0,29.00,0.41 USD,—,1.68%,Technology services,Strong buy
67,ADGM,"Adagio Medical Holdings, Inc",2.83,+2.73%,1295.0,0.05,48379000.0,—,−0.13 USD,−197.12%,0.00%,Health technology,—
68,ADI,"Analog Devices, Inc.",232.86,+0.94%,1429000.0,0.64,115613000000.0,70.22,3.32 USD,−54.94%,1.55%,Electronic technology,Buy
69,ADIL,"Adial Pharmaceuticals, Inc",0.95,0.00%,33643.0,0.61,6085000.0,—,−5.08 USD,+48.41%,0.00%,Health technology,Buy
70,ADM,Archer-Daniels-Midland Company,57.97,+1.19%,1898000.0,0.85,27718000000.0,11.62,4.99 USD,−33.41%,3.36%,Process industries,Neutral
71,ADMA,ADMA Biologics Inc,17.15,+0.79%,9193000.0,1.82,3996000000.0,121.94,0.14 USD,—,0.00%,Health technology,Strong buy
72,ADN,"Advent Technologies Holdings, Inc.",1.92,+2.13%,23110.0,1.11,5062000.0,—,—,—,0.00%,Electronic technology,—
73,ADNT,Adient plc,22.25,+1.69%,860409.0,1.01,1940000000.0,30.06,0.74 USD,−38.89%,0.00%,Producer manufacturing,Neutral
74,ADP,"Automatic Data Processing, Inc.",288.36,+0.51%,952208.0,0.68,117601000000.0,31.68,9.10 USD,+10.90%,1.94%,Technology services,Neutral
75,ADPT,Adaptive Biotechnologies Corporation,4.94,+0.61%,877940.0,0.78,728513000.0,—,−1.47 USD,−10.20%,0.00%,Health technology,Buy
76,ADSE,ADS-TEC ENERGY PLC,13.25,+0.45%,64781.00000000001,0.71,670248000.0,—,−1.55 USD,—,0.00%,Producer manufacturing,Neutral
77,ADSK,"Autodesk, Inc.",281.67,+1.43%,1332000.0,1.48,60559000000.0,57.69,4.88 USD,+20.83%,0.00%,Technology services,Buy
78,ADT,ADT Inc.,6.88,+2.53%,4799000.0,1.20,5897000000.0,9.94,0.69 USD,—,2.91%,Commercial services,Buy
79,ADTN,"ADTRAN Holdings, Inc.",5.91,+2.78%,264651.0,0.66,468261000.0,—,−7.08 USD,−552.13%,1.52%,Electronic technology,Buy
80,ADTX,"Aditxt, Inc.",1.16,−5.69%,950432.0,0.14,4897000.0,—,"−2,821.52 USD",+81.23%,0.00%,Health technology,—
81,ADUS,Addus HomeCare Corporation,130.63,+2.50%,70707.0,0.65,2364000000.0,31.03,4.21 USD,+27.13%,0.00%,Health services,Strong buy
82,ADV,Advantage Solutions Inc.,3.16,+3.27%,237562.0,0.41,1012999999.9999999,—,−0.57 USD,+87.49%,0.00%,Commercial services,Buy
83,ADVM,"Adverum Biotechnologies, Inc.",7.65,+2.82%,134275.0,0.48,159127000.0,—,−7.99 USD,+40.09%,0.00%,Health technology,Strong buy
84,AE,"Adams Resources & Energy, Inc.",27.0,−0.18%,1672.0,0.28,69328000.0,—,−0.53 USD,+77.21%,3.56%,Distribution services,Strong buy
85,AEAE,AltEnergy Acquisition Corp.,11.11,0.00%,,0.00,72083000.0,—,−0.24 USD,−190.43%,0.00%,Finance,—
86,AEE,Ameren Corporation,86.45,+0.75%,1012000.0,0.65,23066000000.0,19.58,4.42 USD,+3.35%,3.05%,Utilities,Buy
87,AEHL,Antelope Enterprise Holdings Limited,0.7,−0.71%,279749.0,1.64,10229000.0,—,−3.02 USD,—,0.00%,Producer manufacturing,—
88,AEHR,Aehr Test Systems,16.02,+20.27%,9397000.0,9.26,473931000.0,16.25,0.99 USD,+55.73%,0.00%,Electronic technology,Buy
89,AEI,Alset Inc.,1.48,−1.99%,61649.0,0.50,13668000.0,—,−6.20 USD,−39.16%,0.00%,Finance,—
90,AEIS,"Advanced Energy Industries, Inc.",109.32,+1.76%,263900.0,1.40,4118000000.0000005,45.58,2.40 USD,−48.63%,0.37%,Electronic technology,Buy
91,AEMD,"Aethlon Medical, Inc.",0.3911,+1.53%,107469.0,0.29,5451000.0,—,−3.87 USD,+29.71%,0.00%,Health technology,Neutral
92,AENT,Alliance Entertainment Holding Corporation,2.55,−1.54%,38117.0,0.59,129941000.0,28.52,0.09 USD,—,0.00%,Distribution services,—
93,AEO,"American Eagle Outfitters, Inc.",20.55,+0.98%,2582000.0,0.59,3947000000.0,16.48,1.25 USD,+20.44%,2.31%,Retail trade,Neutral
94,AEON,"AEON Biopharma, Inc.",0.996,−9.45%,169433.0,0.51,39364000.0,1.90,0.52 USD,—,0.00%,Health technology,Strong buy
95,AEP,"American Electric Power Company, Inc.",98.25,+1.06%,1849000.0,0.80,52281000000.0,19.61,5.01 USD,+30.19%,3.58%,Utilities,Neutral
96,AER,AerCap Holdings N.V.,94.3,+0.02%,967029.0,0.88,19095000000.0,6.07,15.53 USD,+100.10%,0.53%,Finance,Strong buy
97,AERT,"Aeries Technology, Inc.",2.05,−4.43%,4623.0,0.09,91226000.0,—,—,—,0.00%,Technology services,—
98,AES,The AES Corporation,17.32,−0.06%,7075000.0,0.96,12313000000.0,16.52,1.05 USD,—,3.95%,Utilities,Strong buy
99,AESI,Atlas Energy Solutions Inc.,20.45,−0.63%,1022000.0,1.11,2247000000.0,19.89,1.03 USD,—,3.96%,Industrial services,Strong buy
100,AEVA,"Aeva Technologies, Inc.",3.47,+0.29%,162042.0,0.89,186160000.0,—,−3.15 USD,+8.12%,0.00%,Electronic technology,Buy
101,AEYE,"AudioEye, Inc.",23.29,+5.38%,85087.0,0.70,276665000.0,—,−0.29 USD,+58.46%,0.00%,Technology services,Strong buy
102,AFBI,"Affinity Bancshares, Inc.",21.43,0.00%,2532.0,0.34,137418000.0,25.35,0.85 USD,—,0.00%,Finance,—
103,AFG,"American Financial Group, Inc.",135.94,+0.03%,346400.0,1.29,11406000000.0,12.82,10.61 USD,+6.10%,2.09%,Finance,Neutral
104,AFJK,"Aimei Health Technology Co., Ltd",10.5,−0.08%,6933.0,0.33,94773000.0,61.55,0.17 USD,—,0.00%,Finance,—
105,AFL,AFLAC Incorporated,113.26,+1.48%,1478000.0,0.68,63429000000.0,11.98,9.45 USD,+26.56%,1.70%,Finance,Neutral
106,AFMD,Affimed N.V.,3.0,+0.33%,44600.0,0.68,45682000.0,—,−4.09 USD,−418.54%,0.00%,Health technology,Strong buy
107,AFRI,Forafric Global PLC,10.96,+4.38%,2211.0,0.35,294596000.0,—,—,—,0.00%,Process industries,—
108,AFRM,"Affirm Holdings, Inc.",47.08,+12.07%,19658000.0,2.68,14647000000.0,—,−1.68 USD,+49.73%,0.00%,Finance,Buy
109,AFYA,Afya Limited,16.27,+1.56%,154997.0,1.28,1467000000.0,13.72,1.19 USD,+64.64%,0.00%,Consumer services,Buy
110,AGAE,Allied Gaming & Entertainment Inc.,1.24,−3.13%,7074.0,0.54,47350000.0,—,−0.16 USD,−3.18%,0.00%,Consumer services,—
111,AGBA,AGBA Group Holding Limited,1.14,+10.68%,14658000.0,9.77,215763000.0,—,−0.65 USD,−201.90%,0.00%,Finance,—
112,AGCO,AGCO Corporation,99.56,+1.74%,494021.0,0.83,7431000000.0,17.77,5.60 USD,−62.23%,1.17%,Producer manufacturing,Buy
113,AGEN,Agenus Inc.,4.53,+6.59%,264193.0,0.65,97721000.0,—,−11.21 USD,+33.39%,0.00%,Health technology,Neutral
114,AGFY,Agrify Corporation,2.82,−3.67%,31805.0,0.71,3759000.0,—,−12.53 USD,+99.79%,0.00%,Producer manufacturing,—
115,AGIO,"Agios Pharmaceuticals, Inc.",42.65,+1.98%,468794.0,0.69,2426000000.0,—,−6.49 USD,−70.82%,0.00%,Health technology,Buy
116,AGL,"agilon health, inc.",3.22,−3.01%,3053000.0,0.59,1325000000.0,—,−0.62 USD,−187.82%,0.00%,Health services,Neutral
117,AGM,Federal Agricultural Mortgage Corporation,185.22,+1.37%,27131.0,0.83,1970000000.0,11.31,16.38 USD,+17.56%,2.86%,Finance,Buy
118,AGMH,AGM Group Holdings Inc.,1.84,+0.55%,116093.0,0.72,48493000.0,—,—,—,0.00%,Technology services,—
119,AGO,Assured Guaranty Ltd.,83.95,−0.01%,530191.0,1.61,4419000000.0,6.77,12.39 USD,+142.04%,1.44%,Finance,Strong buy
120,AGR,"Avangrid, Inc.",35.73,0.00%,515663.0,0.67,13828000000.0,14.18,2.52 USD,+67.66%,4.93%,Utilities,Sell
121,AGRI,AgriFORCE Growing Systems Ltd.,0.0582,−8.06%,41726000.0,0.78,5491000.0,—,−1.12 USD,−117.72%,0.00%,Commercial services,—
122,AGRO,Adecoagro S.A.,10.96,−1.17%,312021.0,0.59,1141000000.0,5.43,2.02 USD,+133.69%,3.04%,Process industries,Buy
123,AGS,"PlayAGS, Inc.",11.62,+0.09%,108090.0,0.56,467566000.0,97.57,0.12 USD,+27.11%,0.00%,Producer manufacturing,Neutral
124,AGX,"Argan, Inc.",115.14,+1.88%,241137.0,1.00,1554000000.0,36.19,3.18 USD,+19.59%,1.04%,Industrial services,Strong buy
125,AGYS,"Agilysys, Inc.",114.9,+2.12%,175838.0,1.40,3204000000.0,31.81,3.61 USD,+736.37%,0.00%,Technology services,Strong buy
126,AHCO,AdaptHealth Corp.,10.09,+1.10%,848568.0,1.37,1357000000.0,—,−5.17 USD,"−4,184.58%",0.00%,Finance,Buy
127,AI,"C3.ai, Inc.",27.24,+3.85%,5986000.0,2.04,3365000000.0,—,−2.29 USD,+2.02%,0.00%,Technology services,Neutral
128,AIEV,"Thunder Power Holdings, Inc.",0.4801,−8.55%,33607.0,0.54,33951000.0,—,−0.02 USD,−115.70%,0.00%,Consumer durables,—
129,AIFF,"Firefly Neuroscience, Inc.",3.14,−0.46%,23383.0,1.02,26247000.0,—,−2.04 USD,+92.47%,0.00%,Technology services,—
130,AIG,"American International Group, Inc. New",77.23,+0.91%,4323000.0,1.24,49732000000.0,13.48,5.73 USD,−3.21%,1.97%,Finance,Buy
131,AIHS,Senmiao Technology Limited,1.0,+1.52%,16835.0,0.12,10518000.0,—,−0.43 USD,+17.26%,0.00%,Finance,—
132,AILE,"iLearningEngines, Inc.",1.27,+4.10%,524330.0,0.55,179290000.0,—,−3.49 USD,−755.78%,0.00%,Technology services,Strong buy
133,AIM,AIM ImmunoTech Inc.,0.266,+1.18%,70729.0,0.20,16844000.0,—,−0.57 USD,−41.91%,0.00%,Health technology,Strong buy
134,AIMD,"Ainos, Inc.",0.47,−5.96%,211221.0,0.68,3781000.0,—,−3.06 USD,+28.85%,0.00%,Health technology,—
135,AIN,Albany International Corporation,72.35,+3.03%,195667.0,0.93,2257000000.0,20.69,3.50 USD,+32.60%,1.44%,Process industries,Buy
136,AIOT,"PowerFleet, Inc.",5.38,+2.09%,892035.0,0.76,709427000.0,—,−0.64 USD,−429.49%,0.00%,Electronic technology,Strong buy
137,AIP,"Arteris, Inc.",7.58,+3.13%,39532.0,0.53,297569000.0,—,−0.98 USD,−1.00%,0.00%,Electronic technology,Strong buy
138,AIR,AAR Corp.,61.51,+3.47%,599130.0,2.01,2209000000.0,33.95,1.81 USD,−4.76%,0.00%,Electronic technology,Strong buy
139,AIRE,reAlpha Tech Corp.,1.19,−1.65%,76567.0,1.59,52865000.0,—,—,—,0.00%,Technology services,—
140,AIRG,"Airgain, Inc.",9.29,+6.05%,17516.0,0.33,104991000.0,—,−1.17 USD,−25.25%,0.00%,Electronic technology,Strong buy
141,AIRI,Air Industries Group,5.84,+4.29%,62586.0,0.69,19488000.0,—,−0.46 USD,+26.56%,0.00%,Electronic technology,Strong buy
142,AIRJ,Montana Technologies Corp,5.76,−2.21%,14436.0,0.39,321268000.0,1.30,4.43 USD,"+4,373.43%",0.00%,Producer manufacturing,—
143,AIRS,"AirSculpt Technologies, Inc.",5.38,+2.09%,55274.0,0.48,309845000.0,—,−0.06 USD,+73.09%,0.00%,Health technology,Neutral
144,AIRT,"Air T, Inc.",16.81,−2.04%,19491.0,0.77,46396000.0,—,−2.35 USD,+41.65%,0.00%,Transportation,—
145,AISP,"Airship AI Holdings, Inc",2.3,+9.00%,1678000.0,3.32,61223000.0,—,—,—,0.00%,Technology services,—
146,AIT,"Applied Industrial Technologies, Inc.",226.18,+2.79%,107829.0,0.56,8694000000.0,23.01,9.83 USD,+11.16%,0.65%,Distribution services,Buy
147,AITR,AI TRANSPORTATION ACQUISITION CORP,10.54,0.00%,5171.0,0.23,82610000.0,81.01,0.13 USD,—,0.00%,Finance,—
148,AIZ,"Assurant, Inc.",191.89,+0.82%,379111.0,1.08,9939000000.0,12.79,15.01 USD,+133.86%,1.50%,Finance,Buy
149,AJG,Arthur J. Gallagher & Co.,287.91,+0.77%,749335.0,0.68,63081000000.0,56.04,5.14 USD,+0.15%,0.82%,Finance,Buy
150,AKA,a.k.a. Brands Holding Corp.,23.04,+3.41%,10479.0,1.15,242953000.0,—,−8.95 USD,+49.00%,0.00%,Retail trade,Neutral
151,AKAM,"Akamai Technologies, Inc.",104.22,+0.77%,989067.0,0.85,15792000000.0,25.84,4.03 USD,+36.32%,0.00%,Technology services,Buy
152,AKAN,Akanda Corp.,1.04,−3.70%,3260000.0,48.55,1993000.0,—,—,—,0.00%,Process industries,—
153,AKBA,"Akebia Therapeutics, Inc.",1.32,+3.13%,1320000.0,1.18,277580000.0,—,−0.20 USD,+62.08%,0.00%,Health technology,Strong buy
154,AKRO,"Akero Therapeutics, Inc.",29.63,+1.89%,281768.0,0.57,2057000000.0,—,−3.41 USD,−33.20%,0.00%,Health technology,Strong buy
155,AKTS,"Akoustis Technologies, Inc.",0.0749,−0.27%,4364000.0,0.51,11579000.0,—,−1.63 USD,−62.51%,0.00%,Electronic technology,—
156,AKYA,"Akoya BioSciences, Inc.",3.0,+3.81%,136124.0,0.82,148498000.0,—,−1.23 USD,+37.72%,0.00%,Health technology,Buy
157,AL,Air Lease Corporation,43.45,+1.54%,466087.0,0.67,4839000000.0,9.31,4.67 USD,+9.27%,1.93%,Finance,Buy
158,ALAB,"Astera Labs, Inc.",66.69,+0.88%,7640000.0,1.90,10447000000.0,—,−0.57 USD,−41.94%,0.00%,Electronic technology,Strong buy
159,ALB,Albemarle Corporation,102.02,−0.91%,2426000.0,0.87,11991000000.0,—,−4.73 USD,−114.22%,1.57%,Process industries,Buy
160,ALBT,Avalon GloboCare Corp.,0.2152,+1.99%,77537.0,0.34,3440000.0,—,−1.35 USD,−1.66%,0.00%,Health technology,—
161,ALCE,"Alternus Clean Energy, Inc.",2.64,+21.80%,1269000.0,2.10,9191000.0,—,—,—,0.00%,Utilities,—
162,ALCO,"Alico, Inc.",26.06,−3.23%,22409.0,0.56,198805000.0,7.62,3.42 USD,—,0.77%,Process industries,—
163,ALCY,Alchemy Investments Acquisition Corp 1,10.9,0.00%,115909.0,0.64,163178000.0,29.93,0.36 USD,—,0.00%,Finance,—
164,ALDX,"Aldeyra Therapeutics, Inc.",5.37,+0.94%,417818.0,0.88,319094000.0,—,−0.64 USD,+28.05%,0.00%,Health technology,Strong buy
165,ALE,"Allete, Inc.",64.34,−0.03%,310994.0,1.27,3716000000.0,16.77,3.84 USD,+12.68%,4.34%,Utilities,Neutral
166,ALEC,"Alector, Inc.",4.8,+5.49%,345720.0,0.62,467141000.0,—,−1.81 USD,−4.52%,0.00%,Health technology,Buy
167,ALF,Centurion Acquisition Corp.,10.02,+0.17%,5100.0,0.31,287980000.0,—,—,—,0.00%,Finance,—
168,ALG,"Alamo Group, Inc.",177.01,+3.06%,68951.0,0.93,2134999999.9999998,16.76,10.56 USD,+1.30%,0.56%,Producer manufacturing,Strong buy
169,ALGM,"Allegro MicroSystems, Inc.",21.25,+3.46%,1378000.0,0.68,3908000000.0,55.99,0.38 USD,−69.03%,0.00%,Electronic technology,Buy
170,ALGN,"Align Technology, Inc.",222.04,−3.31%,1312000.0,2.49,16585999999.999998,37.67,5.89 USD,+45.06%,0.00%,Health technology,Buy
171,ALGS,"Aligos Therapeutics, Inc.",7.62,+10.60%,62684.0,1.26,46975000.0,—,−12.09 USD,—,0.00%,Health technology,Strong buy
172,ALGT,Allegiant Travel Company,58.37,+1.81%,322267.0,0.63,1068000000.0000001,—,−0.89 USD,−110.92%,4.11%,Transportation,Neutral
173,ALHC,"Alignment Healthcare, Inc.",11.45,+1.24%,722506.0,0.31,2190000000.0,—,−0.81 USD,+8.96%,0.00%,Health services,Buy
174,ALIT,"Alight, Inc.",7.16,+0.28%,3652000.0,1.26,3916000000.0,—,−0.43 USD,+12.49%,0.00%,Technology services,Strong buy
175,ALK,"Alaska Air Group, Inc.",44.63,+3.89%,2684000.0,1.11,5630000000.0,25.84,1.73 USD,+40.32%,0.00%,Transportation,Buy
176,ALKS,Alkermes plc,28.91,+5.63%,1794000.0,1.17,4761000000.0,17.13,1.69 USD,+197.64%,0.00%,Health technology,Buy
177,ALKT,"Alkami Technology, Inc.",33.88,+2.85%,272638.0,0.78,3354000000.0,—,−0.54 USD,+16.64%,0.00%,Technology services,Buy
178,ALL,Allstate Corporation (The),188.28,+1.34%,1241000.0,1.02,49714000000.0,17.12,11.00 USD,—,1.94%,Finance,Buy
179,ALLE,Allegion plc,147.3,+1.84%,768057.0,0.99,12834000000.0,23.40,6.29 USD,+7.83%,1.28%,Producer manufacturing,Neutral
180,ALLK,Allakos Inc.,0.6515,−1.14%,717352.0,2.99,57886000.0,—,−2.35 USD,−21.38%,0.00%,Health technology,Neutral
181,ALLO,"Allogene Therapeutics, Inc.",2.65,+1.15%,1494000.0,0.88,554146000.0,—,−1.61 USD,+26.71%,0.00%,Health technology,Buy
