27,ABOS,"Acumen Pharmaceuticals, Inc.",4.17 USD,+1.70%,44.185 K,0.10,250.503 M USD,—,−1.08 USD,−2.55%,0.00%,Health Technology,Strong buy
28,ABSI,Absci Corporation,5.58 USD,+0.79%,179.35 K,0.14,629.789 M USD,—,−1.20 USD,−4.03%,0.00%,Health Technology,Strong buy
29,ABT,Abbott Laboratories,113.75 USD,+0.24%,536.745 K,0.06,197.377 B USD,34.83,3.27 USD,−16.50%,1.87%,Health Technology,Buy
30,ABTS,Abits Group Inc,0.6800 USD,−14.68%,316.009 K,0.39,24.177 M USD,—,—,—,0.00%,Technology Services,—
31,ABUS,Arbutus Biopharma Corporation,2.57 USD,−1.15%,104.062 K,0.16,461.295 M USD,—,−0.44 USD,+4.63%,0.00%,Health Technology,Strong buy
32,ABVC,"ABVC BioPharma, Inc.",1.19 USD,−1.00%,162.762 K,0.05,12.546 M USD,—,−2.45 USD,+53.36%,0.00%,Health Technology,—
33,AC,"Associated Capital Group, Inc.",32.63 USD,+0.06%,208,0.02,701.336 M USD,18.98,1.72 USD,—,0.63%,Finance,—
34,ACA,"Arcosa, Inc.",86.21 USD,+0.24%,5.161 K,0.03,4.187 B USD,26.50,3.25 USD,−35.53%,0.24%,Producer Manufacturing,Strong buy
35,ACAB,Atlantic Coastal Acquisition Corp. II,10.73 USD,0.00%,102,0.16,117.34 M USD,76.86,0.14 USD,—,0.00%,Finance,—
36,ACAC,Acri Capital Acquisition Corporation,11.21 USD,−0.18%,50.3 K,3.78,60.661 M USD,81.77,0.14 USD,+578.71%,0.00%,Finance,—
37,ACAD,ACADIA Pharmaceuticals Inc.,18.18 USD,−0.11%,105.801 K,0.05,2.996 B USD,—,−0.38 USD,+71.57%,0.00%,Health Technology,Buy
38,ACBA,Ace Global Business Acquisition Limited,12.21 USD,+1.31%,154,0.01,41.886 M USD,—,−0.06 USD,−132.38%,0.00%,Finance,—
39,ACCD,"Accolade, Inc.",10.23 USD,+2.40%,104.797 K,0.17,791.88 M USD,—,−1.66 USD,+75.06%,0.00%,Technology Services,Buy
40,ACCO,Acco Brands Corporation,5.60 USD,−0.36%,81.084 K,0.08,531.599 M USD,—,−0.23 USD,−51.46%,5.42%,Producer Manufacturing,Strong buy
41,ACDC,ProFrac Holding Corp.,8.23 USD,−0.36%,127.298 K,0.11,1.313 B USD,—,−0.45 USD,−134.86%,0.00%,Industrial Services,Buy
42,ACEL,"Accel Entertainment, Inc.",11.88 USD,+0.93%,17.513 K,0.06,995.585 M USD,22.61,0.53 USD,−35.14%,0.00%,Consumer Services,Strong buy
43,ACET,"Adicet Bio, Inc.",2.35 USD,+0.64%,62.212 K,0.04,192.651 M USD,—,−3.32 USD,−94.39%,0.00%,Health Technology,Strong buy
44,ACGL,Arch Capital Group Ltd.,91.75 USD,+0.30%,230.137 K,0.11,34.328 B USD,7.90,11.61 USD,+200.35%,0.00%,Finance,Buy
45,ACHC,"Acadia Healthcare Company, Inc.",78.77 USD,+0.55%,35.017 K,0.05,7.269 B USD,—,−0.25 USD,−108.29%,0.00%,Health Services,Buy
46,ACHR,Archer Aviation Inc.,4.62 USD,−2.64%,1.29 M,0.19,1.433 B USD,—,−1.74 USD,−31.34%,0.00%,Electronic Technology,Strong buy
47,ACHV,"Achieve Life Sciences, Inc.",4.49 USD,−0.77%,36.49 K,0.26,153.627 M USD,—,−2.10 USD,+47.37%,0.00%,Health Technology,Strong buy
48,ACI,"Albertsons Companies, Inc.",21.37 USD,−0.19%,177.573 K,0.05,12.31 B USD,9.23,2.31 USD,+1.73%,2.25%,Retail Trade,Neutral
49,ACIC,American Coastal Insurance Corporation,10.65 USD,+0.28%,49.717 K,0.15,498.175 M USD,1.53,6.94 USD,—,0.00%,Finance,Buy
50,ACIU,AC Immune SA,3.02 USD,−0.33%,21.469 K,0.09,299.577 M USD,—,−0.71 USD,+20.04%,0.00%,Health Technology,Strong buy
51,ACIW,"ACI Worldwide, Inc.",32.86 USD,+0.98%,27.015 K,0.06,3.497 B USD,29.58,1.11 USD,−11.96%,0.00%,Technology Services,Strong buy
52,ACLS,"Axcelis Technologies, Inc.",112.16 USD,−0.28%,38.945 K,0.07,3.659 B USD,15.10,7.43 USD,+36.09%,0.00%,Producer Manufacturing,Buy
53,ACLX,"Arcellx, Inc.",69.72 USD,−1.04%,11.784 K,0.03,3.681 B USD,—,−1.51 USD,+65.88%,0.00%,Health Technology,Strong buy
54,ACM,AECOM,98.10 USD,+0.81%,41.499 K,0.04,13.344 B USD,219.66,0.45 USD,−81.24%,0.78%,Industrial Services,Strong buy
55,ACMR,"ACM Research, Inc.",28.91 USD,+0.73%,125.222 K,0.08,1.766 B USD,24.83,1.16 USD,+97.14%,0.00%,Producer Manufacturing,Strong buy
56,ACN,Accenture plc,345.03 USD,+1.20%,459.492 K,0.12,231.314 B USD,31.27,11.03 USD,+1.57%,1.43%,Technology Services,Buy
57,ACNB,ACNB Corporation,36.48 USD,−1.12%,1.211 K,0.08,310.253 M USD,9.82,3.71 USD,—,3.28%,Finance,Neutral
58,ACNT,Ascent Industries Co.,10.50 USD,−0.10%,600,0.12,106.318 M USD,—,−3.71 USD,−225.61%,0.00%,Non-Energy Minerals,Strong buy
59,ACON,"Aclarion, Inc.",0.3290 USD,+1.08%,47.921 K,0.03,2.353 M USD,—,−8.70 USD,+59.21%,0.00%,Technology Services,Strong buy
60,ACOR,"Acorda Therapeutics, Inc.",12.09 USD,+1.47%,603,0.18,15.011 M USD,—,−19.78 USD,+85.74%,0.00%,Health Technology,—
61,ACRS,"Aclaris Therapeutics, Inc.",1.25 USD,−0.40%,93.421 K,0.10,89.011 M USD,—,−1.27 USD,+4.26%,0.00%,Health Technology,Neutral
62,ACRV,"Acrivon Therapeutics, Inc.",6.42 USD,−0.70%,5.438 K,0.05,142.487 M USD,—,−2.30 USD,—,0.00%,Health Technology,Strong buy
63,ACST,"Acasti Pharma, Inc.",3.41 USD,+0.15%,5.578 K,0.13,32.005 M USD,—,−5.09 USD,−118.81%,0.00%,Health Technology,Strong buy
64,ACT,"Enact Holdings, Inc.",31.08 USD,+0.39%,13.835 K,0.06,4.945 B USD,7.56,4.11 USD,−4.67%,2.10%,Finance,Buy
65,ACTG,Acacia Research Corporation,5.35 USD,+1.33%,28.892 K,0.05,534.392 M USD,24.04,0.22 USD,—,0.00%,Commercial Services,Strong buy
66,ACU,Acme,45.65 USD,−1.02%,2.943 K,0.13,166.403 M USD,9.75,4.68 USD,+502.74%,1.23%,Distribution Services,—
67,ACVA,ACV Auctions Inc.,19.05 USD,+0.99%,72.344 K,0.07,3.122 B USD,—,−0.47 USD,+27.71%,0.00%,Retail Trade,Strong buy
68,ACXP,"Acurx Pharmaceuticals, Inc.",2.40 USD,+3.00%,56.605 K,0.44,34.724 M USD,—,−1.15 USD,−3.29%,0.00%,Health Technology,Strong buy
69,ADBE,Adobe Inc.,505.12 USD,+0.14%,678.284 K,0.10,228.588 B USD,48.25,10.47 USD,+3.17%,0.00%,Technology Services,Buy
70,ADCT,ADC Therapeutics SA,4.51 USD,+7.50%,157.191 K,0.37,372.621 M USD,—,−2.93 USD,−46.47%,0.00%,Health Technology,Buy
71,ADD,"Color Star Technology Co., Ltd.",0.2162 USD,+2.90%,28.319 K,0.18,2.328 M USD,—,−82.69 USD,−1249.44%,0.00%,Technology Services,—
72,ADEA,Adeia Inc.,10.86 USD,+0.46%,38.505 K,0.06,1.167 B USD,18.24,0.60 USD,—,1.89%,Technology Services,Strong buy
73,ADI,"Analog Devices, Inc.",196.88 USD,+1.83%,465.908 K,0.14,97.632 B USD,35.24,5.59 USD,−15.64%,1.82%,Electronic Technology,Buy
74,A,ADIL,1.39 USD,−0.68%,23.097 K,0.05,2.313 M USD,—,−7.97 USD,+53.74%,0.00%,Health Technology,Strong buy
75,ADM,Archer-Daniels-Midland Company,62.66 USD,−0.52%,396.129 K,0.06,31.95 B USD,9.78,6.41 USD,−16.84%,2.99%,Process Industries,Neutral
76,ADMA,ADMA Biologics Inc,6.68 USD,−0.96%,347.16 K,0.13,1.523 B USD,—,−0.13 USD,+62.17%,0.00%,Health Technology,Strong buy
77,ADN,"Advent Technologies Holdings, Inc.",0.1819 USD,−1.89%,153.135 K,0.23,13.193 M USD,—,−1.76 USD,−153.00%,0.00%,Electronic Technology,Neutral
78,ADNT,Adient plc,33.20 USD,+0.09%,53.328 K,0.04,3.029 B USD,14.76,2.25 USD,—,0.00%,Producer Manufacturing,Neutral
79,ADP,"Automatic Data Processing, Inc.",249.47 USD,+0.46%,167.318 K,0.06,102.48 B USD,29.03,8.59 USD,+14.15%,2.10%,Technology Services,Neutral
80,ADPT,Adaptive Biotechnologies Corporation,3.07 USD,+6.23%,269.455 K,0.17,445.433 M USD,—,−1.56 USD,−10.98%,0.00%,Health Technology,Buy
81,ADRT,Ault Disruptive Technologies Corporation,12.88 USD,−0.54%,111,0.09,37.895 M USD,113.68,0.11 USD,—,0.00%,Finance,—
82,ADSE,ADS-TEC ENERGY PLC,10.37 USD,+0.14%,71.125 K,1.78,507.036 M USD,—,−0.88 USD,—,0.00%,Producer Manufacturing,Neutral
83,ADSK,"Autodesk, Inc.",261.81 USD,+0.32%,78.283 K,0.06,56.005 B USD,62.28,4.20 USD,+11.14%,0.00%,Technology Services,Buy
84,ADT,ADT Inc.,6.70 USD,−0.52%,842.199 K,0.08,5.708 B USD,14.52,0.46 USD,+262.42%,2.16%,Commercial Services,Buy
85,ADTH,"AdTheorent Holding Company, Inc.",3.47 USD,+0.29%,51.336 K,0.12,315.438 M USD,—,−0.01 USD,−102.03%,0.00%,Technology Services,Strong buy
86,ADTN,"ADTRAN Holdings, Inc.",5.45 USD,+2.44%,65.445 K,0.08,428.91 M USD,—,−3.34 USD,−5980.87%,6.92%,Electronic Technology,Buy
87,A,ADTX,3.09 USD,+1.64%,46.45 K,1.15,6.061 M USD,—,−213.70 USD,+92.01%,0.00%,Health Technology,Neutral
88,ADUS,Addus HomeCare Corporation,104.13 USD,+0.38%,2.706 K,0.02,1.69 B USD,27.14,3.84 USD,+34.84%,0.00%,Health Services,Strong buy
89,ADV,Advantage Solutions Inc.,4.37 USD,+2.22%,65.093 K,0.09,1.399 B USD,—,−0.20 USD,+95.39%,0.00%,Commercial Services,Buy
90,A,ADVM,14.44 USD,−1.50%,11.958 K,0.03,299.701 M USD,—,−11.62 USD,+25.38%,0.00%,Health Technology,Strong buy
91,AE,"Adams Resources & Energy, Inc.",27.60 USD,+1.90%,3.203 K,0.37,70.84 M USD,429.91,0.06 USD,−38.09%,3.61%,Distribution Services,Strong buy
92,AEAE,AltEnergy Acquisition Corp.,11.21 USD,+1.17%,301,0.15,82.141 M USD,71.77,0.16 USD,−81.40%,0.00%,Finance,—
93,AEE,Ameren Corporation,73.08 USD,−0.10%,115.782 K,0.07,19.46 B USD,16.71,4.37 USD,+5.67%,3.55%,Utilities,Buy
94,AEHL,Antelope Enterprise Holdings Limited,1.69 USD,−0.19%,18.656 K,0.53,8.375 M USD,—,−0.86 USD,+85.16%,0.00%,Producer Manufacturing,—
95,AEHR,Aehr Test Systems,12.21 USD,−2.04%,228.163 K,0.11,352.128 M USD,17.20,0.71 USD,+65.37%,0.00%,Electronic Technology,Neutral
96,AEI,Alset Inc.,0.7290 USD,+4.02%,1.565 K,0.03,6.732 M USD,—,−4.61 USD,+59.39%,0.00%,Finance,—
97,AEIS,"Advanced Energy Industries, Inc.",101.13 USD,−0.87%,17.725 K,0.06,3.775 B USD,29.75,3.40 USD,−35.84%,0.41%,Electronic Technology,Buy
98,AEL,American Equity Investment Life Holding Company,56.27 USD,+0.12%,55.209 K,0.08,4.468 B USD,26.31,2.14 USD,−82.85%,0.64%,Finance,Neutral
99,AEMD,"Aethlon Medical, Inc.",1.71 USD,−2.29%,6.749 K,0.56,4.481 M USD,—,−5.02 USD,+32.21%,0.00%,Health Technology,Buy
100,AENT,Alliance Entertainment Holding Corporation,2.22 USD,+3.74%,5.15 K,0.27,113.066 M USD,—,−0.15 USD,−513.73%,0.00%,Distribution Services,Strong buy
101,AEO,"American Eagle Outfitters, Inc.",25.83 USD,+2.72%,379.979 K,0.08,5.101 B USD,30.00,0.86 USD,+42.83%,1.72%,Retail Trade,Neutral
102,AEON,"AEON Biopharma, Inc.",12.33 USD,+1.23%,3.723 K,0.02,458.178 M USD,21.02,0.59 USD,+209.88%,0.00%,Health Technology,—
103,AEP,"American Electric Power Company, Inc.",85.27 USD,+0.55%,273.794 K,0.07,44.868 B USD,20.08,4.25 USD,−5.52%,4.15%,Utilities,Buy
104,AER,AerCap Holdings N.V.,87.38 USD,−0.24%,161.115 K,0.10,18.36 B USD,6.18,14.14 USD,—,0.00%,Finance,Strong buy
105,A,AERT,2.55 USD,+4.08%,24.899 K,1.37,39.828 M USD,—,—,—,0.00%,Technology Services,—
106,AES,The AES Corporation,17.41 USD,+0.90%,795.429 K,0.06,12.363 B USD,53.15,0.33 USD,—,4.03%,Utilities,Buy
107,AESI,Atlas Energy Solutions Inc.,22.71 USD,+0.98%,40.771 K,0.03,3.231 B USD,—,—,—,3.20%,Industrial Services,Strong buy
108,A,AEVA,3.86 USD,+9.04%,148.325 K,0.28,203.675 M USD,—,−1.99 USD,−2.58%,0.00%,Electronic Technology,Buy
109,AEYE,"AudioEye, Inc.",10.05 USD,−1.95%,17.105 K,0.13,117.538 M USD,—,−0.50 USD,+44.90%,0.00%,Technology Services,Strong buy
110,AFAR,Aura FAT Projects Acquisition Corp,11.07 USD,0.00%,121,0.01,64.003 M USD,58.36,0.19 USD,+227.63%,0.00%,Finance,—
111,AFBI,"Affinity Bancshares, Inc.",16.78 USD,+0.54%,101,0.03,107.671 M USD,17.05,0.98 USD,—,0.00%,Finance,—
112,AFG,"American Financial Group, Inc.",137.64 USD,+0.61%,10.599 K,0.03,11.515 B USD,13.68,10.06 USD,−4.48%,2.00%,Finance,Buy
113,AFIB,"Acutus Medical, Inc.",0.1878 USD,−5.15%,45.25 K,0.04,5.503 M USD,—,−1.25 USD,+59.85%,0.00%,Health Technology,—
114,A,AFJK,10.26 USD,+0.39%,109.65 K,1.99,92.607 M USD,—,—,—,0.00%,Finance,—
115,AFL,AFLAC Incorporated,86.26 USD,+0.75%,149.675 K,0.06,49.635 B USD,11.14,7.75 USD,+18.07%,2.07%,Finance,Neutral
116,A,AFM,5.31 USD,−0.47%,20.878 K,0.20,79.226 M USD,—,−0.85 USD,−37.65%,0.00%,Health Technology,Strong buy
117,AFRI,Forafric Global PLC,10.37 USD,0.00%,1.304 K,0.08,589.836 M USD,—,—,—,0.00%,Process Industries,—
118,AFRM,"Affirm Holdings, Inc.",37.87 USD,+3.13%,1.273 M,0.19,11.621 B USD,—,−2.49 USD,+11.16%,0.00%,Finance,Neutral
119,AFYA,Afya Limited,18.80 USD,+0.91%,15.781 K,0.07,1.762 B USD,21.96,0.86 USD,+7.81%,0.00%,Consumer Services,Buy
120,AGAE,Allied Gaming & Entertainment Inc.,1.06 USD,−0.84%,26.882 K,0.75,39.09 M USD,—,−0.11 USD,+66.51%,0.00%,Consumer Services,—
121,AGBA,AGBA Group Holding Limited,0.4302 USD,−3.86%,15.89 K,0.06,32.224 M USD,—,—,—,0.00%,Finance,—
122,AGCO,AGCO Corporation,122.04 USD,+0.26%,32.059 K,0.05,9.106 B USD,7.81,15.63 USD,+31.67%,0.99%,Producer Manufacturing,Buy
123,AGEN,Agenus Inc.,0.5611 USD,+0.84%,481.38 K,0.06,235.056 M USD,—,−0.69 USD,+11.50%,0.00%,Health Technology,Strong buy
124,AGFY,Agrify Corporation,0.3749 USD,−2.65%,250.7 K,0.19,2.645 M USD,—,−53.45 USD,+95.14%,0.00%,Producer Manufacturing,—
125,AGIO,"Agios Pharmaceuticals, Inc.",29.12 USD,0.00%,22.647 K,0.04,1.636 B USD,—,−6.33 USD,−49.22%,0.00%,Health Technology,Buy
126,AGL,"agilon health, inc.",5.79 USD,+1.05%,583.106 K,0.12,2.371 B USD,—,−0.53 USD,−105.06%,0.00%,Health Services,Buy
127,AGM,Federal Agricultural Mortgage Corporation,195.50 USD,+0.19%,3.253 K,0.04,2.077 B USD,12.36,15.81 USD,+13.62%,2.32%,Finance,Strong buy
128,AGMH,AGM Group Holdings Inc.,1.61 USD,−0.03%,43.846 K,0.33,42.415 M USD,3.00,0.54 USD,—,0.00%,Technology Services,—
129,AGO,Assured Guaranty Ltd.,87.42 USD,+0.08%,45.458 K,0.08,4.848 B USD,6.99,12.50 USD,+543.90%,1.25%,Finance,Strong buy
130,AGR,"Avangrid, Inc.",36.12 USD,−0.21%,48.319 K,0.05,13.969 B USD,17.79,2.03 USD,−10.78%,4.94%,Utilities,Neutral
131,AGRI,AgriFORCE Growing Systems Ltd.,0.1821 USD,−1.41%,1.085 M,0.25,953.498 K USD,—,−0.43 USD,+44.35%,0.00%,Commercial Services,—
132,AGRO,Adecoagro S.A.,11.08 USD,+1.14%,31.305 K,0.06,1.174 B USD,8.12,1.36 USD,−6.65%,3.03%,Process Industries,Buy
133,AGS,"PlayAGS, Inc.",8.89 USD,+0.34%,13.795 K,0.07,348.688 M USD,786.73,0.01 USD,—,0.00%,Producer Manufacturing,Strong buy
134,AGTI,"Agiliti, Inc.",10.14 USD,+0.20%,62.926 K,0.05,1.379 B USD,—,−0.14 USD,−166.64%,0.00%,Consumer Services,Neutral
135,AGX,"Argan, Inc.",50.76 USD,+0.81%,4.629 K,0.08,676.522 M USD,20.29,2.50 USD,+66.99%,2.21%,Industrial Services,Strong buy
136,AGYS,"Agilysys, Inc.",83.44 USD,+1.20%,8.761 K,0.05,2.283 B USD,26.20,3.18 USD,+668.44%,0.00%,Technology Services,Strong buy
137,AHCO,AdaptHealth Corp.,11.68 USD,+2.82%,78.013 K,0.08,1.552 B USD,—,−5.24 USD,−2080.02%,0.00%,Finance,Buy
138,AI,"C3.ai, Inc.",27.41 USD,+0.55%,810.174 K,0.18,3.249 B USD,—,−2.32 USD,+4.29%,0.00%,Technology Services,Neutral
139,AIB,AIB Acquisition Corporation,11.57 USD,+0.09%,103,0.32,41.791 M USD,—,−0.20 USD,−487.00%,0.00%,Finance,—
140,AIG,"American International Group, Inc. New",78.54 USD,+0.26%,328.098 K,0.07,53.482 B USD,15.72,5.00 USD,−60.92%,1.81%,Finance,Buy
141,AIHS,Senmiao Technology Limited,0.9642 USD,+10.98%,7.4 K,0.25,9.226 M USD,—,−0.45 USD,−174.91%,0.00%,Finance,—
142,AIM,AIM ImmunoTech Inc.,0.4650 USD,+4.97%,50.611 K,0.15,22.711 M USD,—,−0.43 USD,+1.42%,0.00%,Health Technology,Strong buy
143,AIMD,"Ainos, Inc.",1.18 USD,0.00%,7.788 K,0.03,7.026 M USD,—,−3.21 USD,+38.16%,0.00%,Health Technology,—
144,AIN,Albany International Corporation,92.46 USD,−4.18%,22.089 K,0.17,2.885 B USD,26.02,3.55 USD,+16.89%,1.07%,Process Industries,Buy
145,AINC,Ashford Inc. (Holding Company),2.46 USD,+6.96%,1.295 K,0.09,7.906 M USD,—,−13.23 USD,−17.60%,0.00%,Commercial Services,—
146,AIP,"Arteris, Inc.",7.42 USD,−1.07%,12.069 K,0.08,280.845 M USD,—,−1.03 USD,−22.96%,0.00%,Electronic Technology,Strong buy
147,AIR,AAR Corp.,60.60 USD,+0.70%,10.584 K,0.02,2.147 B USD,35.66,1.70 USD,−33.27%,0.00%,Electronic Technology,Strong buy
148,AIRE,reAlpha Tech Corp.,1.20 USD,+3.45%,57.464 K,0.16,52.947 M USD,—,—,—,0.00%,Technology Services,—
149,AIRG,"Airgain, Inc.",5.43 USD,+0.37%,473,0.02,57.04 M USD,—,−1.20 USD,−40.69%,0.00%,Electronic Technology,Strong buy
150,AIRI,Air Industries Group,5.10 USD,+4.29%,9.08 K,0.78,16.846 M USD,—,−0.98 USD,−321.71%,0.00%,Electronic Technology,Strong buy
151,A,AIRJ,10.84 USD,+1.21%,9.324 K,0.30,80.364 M USD,294.57,0.04 USD,−35.21%,0.00%,Producer Manufacturing,—
152,AIRS,"AirSculpt Technologies, Inc.",6.11 USD,−2.92%,1.742 K,0.04,350.632 M USD,—,−0.08 USD,+70.25%,0.00%,Health Technology,Buy
153,AIRT,"Air T, Inc.",21.02 USD,+0.05%,231,0.02,59.308 M USD,—,−5.02 USD,−1448.24%,0.00%,Transportation,—
154,A,AISP,7.61 USD,−0.52%,129.942 K,0.04,173.6 M USD,—,−0.21 USD,−188.37%,0.00%,Technology Services,—
155,AIT,"Applied Industrial Technologies, Inc.",197.64 USD,−0.12%,13.428 K,0.01,7.643 B USD,20.74,9.53 USD,+22.38%,0.73%,Distribution Services,Strong buy
156,A,AITR,10.28 USD,0.00%,6.192 K,0.49,80.572 M USD,—,—,—,0.00%,Finance,—
157,AIZ,"Assurant, Inc.",189.15 USD,+0.93%,33.37 K,0.09,9.832 B USD,15.80,11.97 USD,+142.36%,1.55%,Finance,Buy
158,AJG,Arthur J. Gallagher & Co.,250.13 USD,+0.94%,128.086 K,0.13,54.228 B USD,56.35,4.44 USD,−14.62%,0.91%,Finance,Buy
159,AKA,a.k.a. Brands Holding Corp.,9.79 USD,+0.62%,1.737 K,0.28,102.806 M USD,—,−9.25 USD,+43.80%,0.00%,Retail Trade,Neutral
160,AKAM,"Akamai Technologies, Inc.",109.80 USD,+0.16%,102.634 K,0.07,16.638 B USD,31.16,3.52 USD,+18.84%,0.00%,Technology Services,Buy
161,AKAN,Akanda Corp.,0.2384 USD,+44.57%,46.711 M,31.39,2.019 M USD,—,−4.08 USD,—,0.00%,Process Industries,—
162,AKBA,"Akebia Therapeutics, Inc.",2.25 USD,+0.29%,27.891 M,3.51,470.376 M USD,—,−0.28 USD,+47.06%,0.00%,Health Technology,Strong buy
163,AKLI,"Akili, Inc.",0.2906 USD,+0.21%,32.52 K,0.08,22.84 M USD,—,−0.76 USD,−894.77%,0.00%,Health Technology,Buy
164,AKRO,"Akero Therapeutics, Inc.",24.05 USD,−1.64%,76.137 K,0.04,1.658 B USD,—,−2.85 USD,+2.64%,0.00%,Health Technology,Strong buy
165,AKTS,"Akoustis Technologies, Inc.",0.6003 USD,+2.93%,100.096 K,0.11,59.191 M USD,—,−0.97 USD,+10.12%,0.00%,Electronic Technology,Buy
166,AKYA,"Akoya BioSciences, Inc.",4.64 USD,−2.01%,11.111 K,0.07,227.767 M USD,—,−1.49 USD,+20.57%,0.00%,Health Technology,Strong buy
167,AL,Air Lease Corporation,51.48 USD,+1.42%,93.209 K,0.02,5.716 B USD,10.00,5.15 USD,—,1.61%,Finance,Strong buy
168,A,ALAB,79.85 USD,−0.09%,480.724 K,—,12.177 B USD,—,−0.17 USD,+54.99%,0.00%,Electronic Technology,Strong buy
169,ALB,Albemarle Corporation,127.57 USD,−0.96%,679.709 K,0.25,14.991 B USD,9.57,13.34 USD,−41.57%,1.34%,Process Industries,Buy
170,ALBT,Avalon GloboCare Corp.,0.3561 USD,+17.72%,361.314 K,8.75,3.917 M USD,—,−0.91 USD,+29.79%,0.00%,Health Technology,—
171,ALCC,AltC Acquisition Corp.,11.23 USD,+0.72%,58.809 K,0.18,484.019 M USD,59.45,0.19 USD,+1847.42%,0.00%,Finance,—
172,A,ALCE,0.4220 USD,+3.05%,22.481 K,0.07,33.621 M USD,2.98,0.14 USD,—,0.00%,Utilities,—
